cnae_2digitos,cd_cnpj,nu_ordem,cd_ramo_atividade,de_ramo_atividade,ramo_atividade,divisoes
10,05984689000230,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11004540000160,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,03392120000170,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13707365000100,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,23940356000100,0,1033301,COMERCIO ATACADISTA DE EMBALAGENS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,93982387000100,0,1053800,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02013642000150,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12305448000100,0,1093701,AGENCIAS MATRIMONIAIS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12658201000160,0,1093701,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14859012000180,0,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14537226000130,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10769617000120,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,04412044000180,0,1099699,FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15309170000120,0,1020101,COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09193796000110,0,1013901,FABRICACAO DE PRODUTOS DE CARNE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14612963000150,0,1032599,"FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15797920000150,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14612963000150,1,1094500,FABRICACAO DE MASSAS ALIMENTICIAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12008981000100,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13881960000150,3,1094500,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,34692962000170,0,1011201,COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13881960000150,2,1093701,FABRICACAO DE PRODUTOS DE CARNE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13881960000150,0,1013901,"FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14746730000140,0,1099605,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13881960000150,1,1064300,FABRICACAO DE MASSAS ALIMENTICIAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14604617000120,0,1091101,"CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02875997000230,0,1013902,PREPARACAO DE SUBPRODUTOS DO ABATE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14054371000160,0,1033302,"FABRICACAO DE SUCOS DE FRUTAS, HORTALICAS E LEGUMES, EXCETO CONCENTRADOS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13847278000140,1,1020101,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14565232000100,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10528326000140,0,1091102,"COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13847278000140,0,1012101,ABATE DE AVES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15793587000100,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15821629000170,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14709248000130,0,1094500,FABRICACAO DE MASSAS ALIMENTICIAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10198311000160,3,1099699,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,57968851000140,0,1061901,BENEFICIAMENTO DE ARROZ,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07663583000180,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15575058000130,0,1096100,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10829830000180,0,1013901,FABRICACAO DE PRODUTOS DE CARNE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09085264000160,1,1013902,COMERCIO VAREJISTA DE CARNES  ACOUGUES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15217444000150,0,1066000,COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09612415000190,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09085264000160,0,1013901,COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07680410000170,0,1091102,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13240103000170,0,1053800,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07650858000140,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02094655000100,0,1052000,FABRICACAO DE LATICINIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
