nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,2
RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,6
RUA VITOR DE QUEIROZ MATOS,105,03263010,PARQUE SAO LUCAS,SAO PAULO,SP,10
RUA ANTONIO GALDINO MARCA,167,36660000,VILA CAXIAS,ALEM PARAIBA,MG,14
RUA PORTAO DA PIEDADE,155,40070045,BARRIS,SALVADOR,BA,17
AVENIDA CANDIDO PORTINARI,970,05114001,VILA JAGUARA,SAO PAULO,SP,19
RUA 24 DE MAIO,574,83323060,VILA TARUMA,PINHAIS,PR,21
RUA DESEMBARGADOR JAIME,141,75020040,SETOR CENTRAL,ANAPOLIS,GO,23
RUA VAIL JUSTINIANO TOLEDO,113,19700000,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,SP,25
RUA PARAENSE,SN,77930000,CENTRO,AXIXA DO TOCANTINS,TO,27
AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,29
RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,31
RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,34
ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,36
AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,39
RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,42
RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,45
AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,49
AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,52
PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,55
RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,59
RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,61
LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,63
RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,65
RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,67
AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,70
AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,72
RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,74
RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,77
RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,79
ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,81
RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,84
RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,86
LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,88
RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,90
RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,93
LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,96
RUA MIGUEL GLINKA,,24716072,JARDIM CATARINA,SAO GONCALO,RJ,98
VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,100
RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,103
RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,106
AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,109
AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,112
RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,115
AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,117
RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,119
