pk_localizacao,pk_data,pk_juridica,pk_empresa_info,cd_cnpj,fl_matriz,nm_razao_social,faixa_de_veiculos,vl_latitude,vl_longitude,qt_filial,vl_total_veiculos,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados
2,1,3,4,12305448000100,1,GIOVANNA SOUZA DE LIMA DATE MEI,,"-23,5505199","-46,6333094",0,0,0,0,0
6,5,7,8,14180365000150,1,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,,"-14,7809311","-39,2636",0,0,0,0,0
10,9,11,12,01144533000100,1,T P V CONSTRUCOES ELETRICAS LTDA,,"-23,5907593","-46,5486725",0,0,0,0,0
14,13,15,12,01911869000150,1,LUIZA DE FATIMA CAMPOS DE SOUZA,,"-21,8833835","-42,6985095",0,0,0,0,0
17,16,11,12,00243955000170,1,E C PINTO PRADO & CIA LTDA,,"-12,9830488","-38,5136913",0,0,0,0,0
19,18,15,12,00890690000100,1,LUCIANO OLIVEIRA DA SILVA ME,,"-23,5072955","-46,7555407",0,0,0,0,0
21,20,11,12,00887641000100,1,VZW LANCHES LTDA,,"-25,4387247","-49,1949172",0,0,0,0,0
23,22,11,12,00092783000180,1,SAUNA NACOES UNIDAS LTDA,,"-16,3273047","-48,9533426",0,0,0,0,0
25,24,15,12,09320876000190,1,CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME,,"-22,432076","-50,5803154",0,0,0,0,0
27,26,15,12,01846005000100,1,ANTONIO JOSE DA SILVA RUBIM,,"-5,6149591","-47,7708204",0,0,0,0,0
29,28,11,12,05610297000120,1,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,,"-16,2806113","-48,9319839",0,0,0,0,0
31,30,3,32,15044857000180,1,MARIA GILVANIA DE AQUINO MEI,,"-23,0864185","-46,9770708",0,0,0,0,0
34,33,3,32,15028623000140,1,DEBORA PINHEIRO DA SILVA MEI,,"-22,8492135","-43,2540858",0,0,0,0,0
36,35,3,37,07297742000170,1,MAURO ODELLI ME,0 a 5,"-27,0337085","-49,3872519",0,1,0,1,0
39,38,7,40,15291845000150,1,COMERCIO FASHION BIJU LTDA ME,,"-20,3433882","-40,3875092",0,0,0,0,0
42,41,7,43,15090404000190,1,CONFECCOES BG LTDA ME,,"-26,6109126","-49,0091505",0,0,0,0,0
45,44,46,47,90400888251650,0,BANCO SANTANDER BRASIL SA,,"-22,8525901","-47,1565107",0,0,0,0,0
49,48,7,50,12254288000100,1,CASA DO GOL LTDA ME,,"-19,9120148","-43,9711978",0,0,0,0,0
52,51,7,53,04226709000160,1,COMERCIAL M&M YAMASHITA LTDA ME,,"-23,5505199","-46,6333094",0,0,0,0,0
55,54,56,57,16679748000100,1,GRUPO CIENTIFICO RAMATIS,,"-19,8909944","-43,9523488",10,0,0,0,0
59,58,7,8,07793444000170,1,KAUS & KAUS LTDA,,"-29,6963563","-53,844565",0,0,0,0,0
61,60,3,43,03220549000180,1,ROMERIO RODRIGUES LEITE ME,,"-7,1882638","-39,7376748",0,0,0,0,0
